#,Date ,close ,Return,Sorted Returns,,Replication,Simulated Returns,,Calculation of value at risk - Tata Steel,,,,
,,,,,,,,,,,,,
,10-Oct-25,678.95,0.32%,3.70%,,1,0.004679833,,Historical Approach,,,,
,9-Oct-25,681.1,0.07%,3.58%,,2,0.015924677,,Mean,,,,-0.09%
,8-Oct-25,681.55,2.42%,3.31%,,3,-0.013025188,,Std,,,,1.71%
,7-Oct-25,698.05,2.09%,2.94%,,4,-0.008215004,,Min,,,,-5.31%
,6-Oct-25,712.65,0.48%,2.81%,,5,-0.00907094,,Max,,,,3.70%
,3-Oct-25,716.1,0.31%,2.69%,,6,0.011674731,,CMP,,,,678.95
,1-Oct-25,718.35,-5.31%,2.64%,,7,0.022709103,,,,,,
,30-Sep-25,680.2,-1.13%,2.42%,,8,0.017334923,,,,,,
,29-Sep-25,672.5,0.06%,2.09%,,9,0.014786637,,Historical Approach,,,,
,26-Sep-25,672.9,-1.28%,2.09%,,10,0.016322512,,Mean,,,,-0.000389415
,25-Sep-25,664.3,2.81%,2.06%,,11,0.003679245,,Std,,,,0.016515665
,24-Sep-25,682.95,2.69%,2.02%,,12,0.010335122,,Min,,,,-0.05555642
,23-Sep-25,701.35,-0.73%,2.02%,,13,-0.002220163,,Max,,,,0.046720872
,22-Sep-25,696.25,1.61%,2.00%,,14,-0.01413337,,CMP,,,,678.95
,19-Sep-25,707.45,0.53%,1.91%,,15,-0.013533561,,,,,,
,18-Sep-25,711.2,1.12%,1.85%,,16,0.008522452,,Percentile   ,  Confidence,VaR (%),Stock Price,VaR (INR)
,17-Sep-25,719.15,-0.82%,1.76%,,17,-0.002885685,,5%,95%,0.02607,661.2497735,17.7002265
,16-Sep-25,713.25,-0.05%,1.75%,,18,0.003891154,,1%,99%,0.035179,655.065218,23.88478205
,15-Sep-25,712.9,0.33%,1.61%,,19,-0.016383459,,0.5%,99.5%,0.036268,654.3258414,24.6241586
,12-Sep-25,715.25,-1.31%,1.54%,,20,-0.014066712,,10%,90%,0.01991,665.4321055,13.5178945
,11-Sep-25,705.85,0.46%,1.47%,,21,-0.031769549,,,,,,
